"operator","enbId_rncId","cellId","frequency","trueServingCoverageArea_latitude","trueServingCoverageArea_longitude","normalizedServingCoverageArea_latitude","normalizedServingCoverageArea_longitude","fullActivityCoverage_latitude","fullActivityCoverage_longitude","bts_latitude","bts_longitude","altitude_altitude","Neighbor_Cell_0_latitude","Neighbor_Cell_0_longitude","Neighbor_Cell_1_latitude","Neighbor_Cell_1_longitude","Neighbor_Cell_2_latitude","Neighbor_Cell_2_longitude","ID"
"MegaCom Ltd",54661,33,"1300",52.3137512207,4.94303703308,52.3137512207,4.94303703308,52.3139839172,4.9426612854,"52.3131256104","4.94303703308","67","NULL","NULL","NULL","NULL","NULL","NULL",1
"MegaCom Ltd",41751,12,"6400",52.3081245422,4.94012212753,52.3081245422,4.94012212753,52.3079299927,4.94024896622,"52.3081245422","4.93910169601","58","52.3060455322","4.93631362915","52.3081054688","4.9397559166","52.3055229187","4.94427728653",2
"MegaCom Ltd",53001,13,"6400",52.3606262207,4.79660177231,52.3606262207,4.79660177231,52.3605499268,4.79775857925,"52.359375","4.80068349838","53","52.3574104309","4.79495096207","52.3605194092","4.79580545425","52.362701416","4.7988820076",3
"MegaCom Ltd",40251,12,"6400",52.3499984741,4.86645030975,52.3499984741,4.86645030975,52.3533096313,4.86557626724,"NULL","NULL","57","52.3533592224","4.86610364914","52.3535919189","4.86639165878","52.3512687683","4.86554670334",4
"MegaCom Ltd",521,12,"6400",52.3656234741,4.86483383179,52.3656234741,4.86483383179,52.3674507141,4.86215353012,"NULL","NULL","59","52.3690185547","4.86233377457","52.3671989441","4.86145973206","52.368473053","4.86538553238",5
"MegaCom Ltd",6671,32,"1300",52.3149986267,4.94287109375,52.3149986267,4.94287109375,52.3151397705,4.9426612854,"NULL","NULL","51","52.3150978088","4.9428319931","52.3159675598","4.94198226929","52.3149795532","4.94298839569",6
"MegaCom Ltd",73521,12,"6400",52.3112487793,4.94376945496,52.3112487793,4.94376945496,52.3113327026,4.94455099106,"52.3112487793","4.94274902344","63","52.3108062744","4.94612789154","52.3106994629","4.94429206848","52.311630249","4.94577169418",7
"MegaCom Ltd",19721,32,"1300",52.3725013733,4.90848636627,52.3725013733,4.90848636627,52.3736724854,4.90655755997,"52.3737487793","4.90950679779","48","52.3709259033","4.90928697586","52.3702392578","4.90636253357","52.3709220886","4.91087913513",8
"MegaCom Ltd",36461,33,"1300",52.3562507629,4.81738758087,52.3562507629,4.81738758087,52.3573226929,4.82026386261,"52.3549995422","4.82044935226","46","52.3582572937","4.81938457489","52.3546867371","4.81837892532","52.3607025146","4.81992673874",9
"MegaCom Ltd",541,13,"6400",52.3100013733,4.95193862915,52.3100013733,4.95193862915,52.3093910217,4.95937490463,"52.3087501526","4.96009778976","49","52.3174057007","4.96115255356","52.3098640442","4.96051263809","52.3108940125","4.95730447769",10
"MegaCom Ltd",7411,31,"1300",52.3143768311,4.9435300827,52.3143768311,4.9435300827,52.3148231506,4.94295406342,"NULL","NULL","62","52.3150177002","4.94337892532","52.3145294189","4.94320821762","52.3153381348","4.94294452667",11
"MegaCom Ltd",31831,11,"6400",52.3318748474,4.87896966934,52.3318748474,4.87896966934,52.3317184448,4.87906742096,"52.3325004578","4.87896966934","NULL","52.3313522339","4.87906742096","52.331451416","4.87944841385","52.3313903809","4.87968254089",12
"MegaCom Ltd",20181,12,"6400",52.3712501526,4.92020988464,52.3712501526,4.92020988464,52.3708190918,4.92055654526,"52.3737487793","4.92225074768","55","52.3709754944","4.91999530792","52.3712463379","4.92161607742","52.3717041016","4.91795921326",13
"MegaCom Ltd",561,13,"6400",52.3562507629,4.88121080399,52.3562507629,4.88121080399,52.3564987183,4.8813624382,"NULL","NULL","50","52.3564338684","4.88145494461","52.3577003479","4.87952136993","52.3576622009","4.87956523895",14
"MegaCom Ltd",901,13,"6400",52.3250007629,4.87157726288,52.3250007629,4.87157726288,52.3255844116,4.87433576584,"52.3224983215","4.87770032883","50","52.3263244629","4.87416982651","52.3240852356","4.87495136261","52.3258247375","4.87539052963",15
"MegaCom Ltd",60251,12,"6400",52.3431243896,4.88090324402,52.3431243896,4.88090324402,52.3442344666,4.88464355469,"52.3450012207","4.88601064682","58","52.3432312012","4.87967777252","52.3444709778","4.88788557053","52.344127655","4.88782691956",16
"MegaCom Ltd",60301,13,"6400",52.3606262207,4.8927488327,52.3606262207,4.8927488327,52.3597259521,4.8955616951,"52.3600006104","4.89989757538","58","52.358745575","4.89572286606","52.3591499329","4.8940820694","52.3593902588","4.89474105835",17
"MegaCom Ltd",41061,12,"6400",52.3250007629,4.96154785156,52.3250007629,4.96154785156,52.3253707886,4.96137189865,"52.3268737793","4.96460914612","46","52.3269538879","4.96897935867","52.3231010437","4.9658203125","52.3170661926","4.96665525436",18
"MegaCom Ltd",40631,13,"6400",52.3325004578,4.93802261353,52.3325004578,4.93802261353,52.3314170837,4.9374756813,"52.3312492371","4.93700218201","43","52.331161499","4.93619155884","52.3322563171","4.93884277344","52.331199646","4.93642568588",19
"MegaCom Ltd",92961,11,"6400",52.3643760681,4.90594244003,52.3643760681,4.90594244003,52.3635787964,4.9071726799,"NULL","NULL","59","52.3629493713","4.90542984009","52.3634223938","4.90569353104","52.3640975952","4.90617656708",20
"MegaCom Ltd",40291,13,"6400",52.3662490845,4.89895009995,52.3662490845,4.89895009995,52.3660697937,4.90030765533,"NULL","NULL","52","52.3652458191","4.90079593658","52.3660163879","4.90066385269","52.3657608032","4.90061044693",21
"MegaCom Ltd",8421,13,"6400",52.3862495422,4.89750480652,52.3862495422,4.89750480652,52.3877258301,4.89932632446,"52.3875007629","4.90261697769","65","52.3876304626","4.8971824646","52.3873100281","4.90191411972","52.3883171082","4.89270496368",22
"MegaCom Ltd",6791,31,"1300",52.3149986267,4.94527339935,52.3149986267,4.94527339935,52.3150749207,4.94415521622,"NULL","NULL","47","52.3149719238","4.94308614731","52.314994812","4.94278335571","52.3150253296","4.9433836937",23
"MegaCom Ltd",24181,33,"1300",52.3393745422,4.87416982651,52.3393745422,4.87416982651,52.3396530151,4.87391090393,"52.3393745422","4.87416982651","NULL","52.3399772644","4.87408208847","52.3408203125","4.8737988472","52.3399009705","4.8740234375",24
"MegaCom Ltd",40121,12,"6400",52.4056243896,4.9525437355,52.4056243896,4.9525437355,52.404586792,4.9478468895,"52.4093742371","4.94641113281","45","52.4027137756","4.95471668243","52.4033851624","4.94973611832","52.4033584595","4.9511475563",25
